Serial Port,Voltage (V),Average X,Average Y,Average Z
COM21,0.022075983432972623,-52.85,54.03,-58.6
COM16,0.014584407000733967,-40.05,-5.49,-68.87
COM18,0.014584407000733967,-18.52,24.07,-48.5
COM19,0.014584407000733967,-61.09,8.8,-47.45
COM20,0.014584407000733967,-19.81,-35.24,-65.05
COM21,0.014584407000733967,-42.24,41.57,-62.76
COM16,0.18750005159372585,-38.64,36.42,-86.92
COM18,0.18750005159372585,-17.87,18.28,-48.3
COM19,0.18750005159372585,-62.45,56.73,4.93
COM20,0.18750005159372585,-21.3,10.12,-14.38
COM21,0.18750005159372585,-60.44,54.05,-85.18
COM16,0.22612733246726743,-38.45,39.78,-91.81
COM18,0.22612733246726743,-16.46,19.7,-44.46
COM19,0.22612733246726743,-62.65,57.68,17.09
COM20,0.22612733246726743,-20.85,10.63,-2.25
COM21,0.22612733246726743,-61.88,53.99,-91.49
COM16,0.07171254466797806,-35.89,-5.05,-79.3
COM18,0.07171254466797806,-32.78,25.35,-46.96
COM19,0.07171254466797806,4.26,5.14,-29.63
COM20,0.07171254466797806,38.98,-36.05,-48.1
COM21,0.07171254466797806,9.19,38.98,-57.99
COM16,0.05247571198875926,-40.31,24.27,-68.22
COM18,0.05247571198875926,-22.14,14.92,-59.35
COM19,0.05247571198875926,-60.16,53.96,-37.37
COM20,0.05247571198875926,-22.55,9.26,-54.82
COM21,0.05247571198875926,-53.7,53.75,-63.86
COM16,0.24904236991479145,-34.8,37.66,-98.11
COM18,0.24904236991479145,-31.47,20.06,-46.28
COM19,0.24904236991479145,2.85,52.61,24.5
COM20,0.24904236991479145,37.69,9.01,5.36
COM21,0.24904236991479145,-9.93,51.17,-81.2
COM16,0.10116296189363128,-39.44,28.4,-75.11
COM18,0.10116296189363128,-20.37,15.77,-55.65
COM19,0.10116296189363128,-60.84,54.7,-22.67
COM20,0.10116296189363128,-22.29,9.43,-39.63
COM21,0.10116296189363128,-56.08,53.87,-71.74
COM16,0.1417806683737343,-39.69,32.67,-80.75
COM18,0.1417806683737343,-19.25,17.18,-51.77
COM19,0.1417806683737343,-61.55,55.62,-9.98
COM20,0.1417806683737343,-21.71,9.66,-27.42
COM21,0.1417806683737343,-57.91,53.98,-77.68
COM16,0.027873228023867633,-39.97,-4.3,-71.1
COM18,0.027873228023867633,-16.56,21.95,-43.02
COM19,0.027873228023867633,-61.39,9.12,-43.03
COM20,0.027873228023867633,-19.52,-35.2,-58.78
COM21,0.027873228023867633,-39.08,37.77,-58.23
COM16,0.03578495648919237,-36.58,-8.49,-74.23
COM18,0.03578495648919237,-33.78,24.25,-50.29
COM19,0.03578495648919237,4.75,4.3,-41.06
COM20,0.03578495648919237,38.51,-36.15,-58.83
COM21,0.03578495648919237,10.61,38.92,-52.32
COM16,0.02323249104015399,-39.92,-4.73,-70.71
COM18,0.02323249104015399,-18.63,24.23,-48.05
COM19,0.02323249104015399,-60.82,9.31,-44.49
COM20,0.02323249104015399,-19.77,-35.24,-62.03
COM21,0.02323249104015399,-43.13,41.72,-64.24
COM16,0.13654751498788825,-39.23,31.84,-80.11
COM18,0.13654751498788825,-19.3,16.98,-52.53
COM19,0.13654751498788825,-61.09,55.43,-11.69
COM20,0.13654751498788825,-21.85,9.46,-29.57
COM21,0.13654751498788825,-58.14,53.95,-77.4
COM16,0.2287349857161761,-34.89,12.25,-98.84
COM18,0.2287349857161761,-27.85,29.48,-34.63
COM19,0.2287349857161761,1.65,8.4,19.32
COM20,0.2287349857161761,40.29,-34.8,-1.61
COM21,0.2287349857161761,2.0,39.32,-83.31
COM16,0.1213234466312389,-39.07,5.18,-83.79
COM18,0.1213234466312389,-15.57,26.6,-39.63
COM19,0.1213234466312389,-62.72,11.62,-14.25
COM20,0.1213234466312389,-18.91,-34.0,-33.49
COM21,0.1213234466312389,-47.55,41.84,-79.7
COM16,0.19325746938654167,-38.21,11.53,-94.19
COM18,0.19325746938654167,-13.41,28.61,-33.97
